# Tunable thresholds/behaviors that drive confidence_score and status.
# behavior: hard_block (always needs_review), soft_flag (lowers score only),
#           auto_process_if_no_exceptions (composite score gate), config (plain value).
condition_key,threshold_value,behavior,description
ocr_confidence_min,0.60,soft_flag,OCR raw confidence below this contributes to a lower score
field_confidence_min,0.55,soft_flag,Parsed required-field confidence below this contributes to a lower score
overall_confidence_auto_process_min,0.75,auto_process_if_no_exceptions,Composite score gate for auto_processed status
unknown_route,,hard_block,Route (origin/destination pair) not found in route_config
unknown_tariff,,hard_block,No matching tariff rule for the classified trip_type/distance_band
missing_weight_no_estimate,,hard_block,Weight missing and no applicable weight-estimation rule
suspected_duplicate,,hard_block,Same folio+date+fletero+route seen before within the duplicate check window
duplicate_check_window_days,7,config,Window (days) used for duplicate-boleta detection
unknown_folio,,hard_block,Scanned QR/folio not found in any issued folio batch
folio_already_used,,hard_block,Folio already linked to a different scanned record
volumen_mismatch,,hard_block,Volumen Entregado differs from Volumen por Entregar by more than the tolerance
volumen_mismatch_pct,10,config,Max percent difference between declared and actual volumen before flagging
